"","id","center","center_city"
"1",1,"Ospedale Gaslini (Genova)","Genova"
"2",2,"Ospedale SS Biagio e Arrigo (Alessandria)","Alessandria"
"3",3,"Ospedale Infantile Regina Margherita (Torino)","Torino"
"4",4,"Ospedale Maggiore della Carit? (Novara)","Novara"
"5",5,"Ospedale Buzzi (Milano)","Milano"
"6",6,"IRCCS Policlinico De Marchi (Milano)","Milano"
"7",7,"Ospedale Civile Maggiore (Verona)","Verona"
"8",8,"Azienda Ospedaliera Universitaria (Padova)","Padova"
"9",9,"IRCCS Burlo Garofalo (Trieste)","Trieste"
"10",10,"Ospedale Sant'Orsola Malpighi (Bologna)","Bologna"
"11",11,"Ospedale Meyer (Firenze)","Firenze"
"12",12,"Ospedale Bambino Ges? DEA (Roma)","Roma"
"13",13,"Terapia Intensiva Pediatrica (Vicenza)","Vicenza"
"14",14,"Ospedale Santo Bono (Napoli)","Napoli"
"15",15,"Ospedale G Di Cristina (Palermo)","Palermo"
"16",16,"Taormina","Taormina"
"17",19,"Ospedale Regina Margherita - TIP cardiochirurgica (Torino)","Torino"
"18",20,"Ospedale Salesi (Ancona)","Ancona"
"19",21,"Ospedale Bambino Ges? TIP (Roma)","Roma"
"20",22,"IRCCS Gemelli (Roma)","Roma"
"21",23,"Patologia Neonatale Buzzi(Milano)","Milano"
"22",24,"Ospedale Bambino Ges? Patologia Neonatale (Roma)","Roma"
"23",25,"Ospedale Bambino Ges? (Palidoro)","Palidoro"
"24",26,"Ospedale San Donato TIP cardiochirurgica (Milano)","Milano"
"25",27,"Spedali Civili (Brescia)","Brescia"
"26",28,"Ospedale Garibaldi Nomisma (Catania)","Catania"
"27",29,"Policlinico TIN TIP (Messina)","Messina"
"28",30,"Ospedale Monaldi TIP cardiochirurgica (Napoli)","Napoli"
"29",31,"Ospedale Riuniti (Bergamo)","Bergamo"
"30",32,"Ospedale Bambino Ges? TIP cardiochirurgica (Roma)","Roma"
"31",33,"Ospedale Pediatrico Giovanni XXIII (Bari)","Bari"
"32",34,"ASST dei 7 laghi","Varese"
"33",35,"Azienda Ospedaliero-universitaria","Parma"
